#{"t_start": 1782138123.3904839, "env_id": "FetchReach-v4"}
r,l,t
-1.535842,50,669.376895
-1.450894,50,670.89903
-1.265929,50,672.249005
-2.039896,50,673.638685
-1.116183,50,674.993244
-1.521715,50,676.634744
-1.199661,50,677.947483
-1.171023,50,679.396657
-1.290513,50,680.523715
-1.234189,50,681.706869
-1.190804,50,682.965022
-1.228992,50,684.224581
-1.677005,50,685.55018
-1.311981,50,687.124342
-1.046038,50,688.357409
-1.147496,50,689.43708
-1.372583,50,690.550936
-0.926309,50,691.969598
-0.562979,50,693.090826
-1.78202,50,694.545372
-1.324634,50,695.925145
-1.642519,50,697.592338
-1.060704,50,698.928981
-0.952491,50,700.286243
-1.255306,50,701.648152
-0.763412,50,703.306365
-1.221395,50,704.67401
-1.37131,50,706.019
-1.716003,50,707.385378
-0.281138,50,709.001457
-1.055162,50,710.362419
-1.610701,50,711.708575
-1.543377,50,713.069782
-1.40135,50,714.639012
-1.080465,50,715.983567
-0.761931,50,717.371404
-1.097534,50,718.748175
-1.04722,50,720.416402
-1.731474,50,721.765683
-1.309873,50,723.157858
-1.075058,50,724.509656
-1.493297,50,726.013307
-0.935276,50,727.345896
-1.499784,50,728.708781
-1.080324,50,730.071839
-0.787852,50,731.652632
-1.821321,50,733.028004
-1.197882,50,734.41633
-1.169414,50,735.810906
-1.166385,50,737.493984
-1.22102,50,738.819401
-2.501153,50,740.144153
-0.480982,50,741.306951
-0.957282,50,742.814522
-0.956736,50,744.12645
-1.46987,50,745.484273
-1.278145,50,746.869557
-1.030698,50,748.486427
-0.499466,50,749.828137
-0.7362,50,751.184086
-1.718658,50,752.573104
-1.089868,50,754.049677
-1.146707,50,755.736443
-2.503246,50,757.102924
-0.827347,50,758.542553
-1.30152,50,760.436155
-1.387769,50,761.848271
-1.390674,50,763.401554
-1.358225,50,764.655108
-0.855054,50,766.255592
-1.07683,50,767.646173
-1.214673,50,769.034867
-1.675125,50,770.436712
-1.236643,50,771.858855
-1.417773,50,772.978388
-0.945126,50,774.384922
-1.424113,50,775.782431
-1.750289,50,777.641681
-0.631092,50,779.110755
-1.240687,50,780.471936
-1.027667,50,781.819139
-1.145531,50,783.44388
-0.949394,50,784.80333
-1.320277,50,786.129408
-1.384233,50,787.509365
-1.340726,50,789.074628
-1.382177,50,790.390324
-0.47679,50,791.763453
-1.475555,50,793.062189
-1.061573,50,794.673413
-1.092193,50,796.07017
-0.565203,50,797.467223
-1.642796,50,798.82034
-1.226245,50,800.49648
-0.702218,50,801.860863
-1.666046,50,803.125312
-1.469966,50,804.495431
-1.172506,50,806.21648
-1.219839,50,807.561183
-1.296272,50,808.843152
-1.038673,50,810.239772
-1.031515,50,811.97182
-1.935465,50,813.381282
-1.209676,50,814.827716
-1.042779,50,816.140039
-0.950396,50,817.816107
-1.497287,50,819.149294
-1.494637,50,820.494947
-0.654966,50,821.882301
-1.189251,50,823.555632
-1.525287,50,824.973819
-1.089691,50,826.562402
-1.667495,50,828.000182
-1.687199,50,829.526254
-0.578032,50,830.856751
-0.322803,50,832.24395
-0.701383,50,833.629176
-0.972185,50,835.483288
-1.20399,50,836.91563
-1.067044,50,838.317554
-0.897647,50,839.753867
-0.832646,50,841.409171
-1.346481,50,842.786375
-1.022078,50,844.189773
-1.503785,50,845.624114
-0.926782,50,847.275246
-1.716302,50,848.741107
-1.298681,50,850.148036
-1.084936,50,851.584769
-1.634713,50,853.12909
-1.549468,50,854.390519
-1.144431,50,855.708461
-0.778335,50,856.919496
-0.803813,50,858.497652
-1.309775,50,859.963235
-1.421043,50,861.455243
-1.190839,50,862.810784
-0.611103,50,864.464077
-0.730593,50,865.784571
-1.25786,50,867.161293
-1.433209,50,868.488093
-1.446134,50,870.124099
-0.664399,50,871.285129
-1.619472,50,872.51112
-1.249784,50,873.593764
-1.487099,50,875.205159
-0.762928,50,876.551322
-1.347733,50,877.919496
-1.39433,50,879.273832
-0.430212,50,880.780328
-1.454429,50,881.902871
-1.592024,50,883.285843
-1.200278,50,884.559426
-2.509508,50,886.133734
-1.034093,50,887.488782
-1.242632,50,888.604653
-1.040859,50,889.990016
-1.486182,50,891.701088
-1.094635,50,893.08675
-0.840699,50,894.46687
-1.188593,50,895.87711
-0.75113,50,897.500357
-1.04083,50,899.015604
-1.703486,50,900.314277
-0.999668,50,901.717813
-1.367013,50,903.302257
-1.462336,50,904.678105
-1.581776,50,906.03726
-1.161503,50,907.394265
-1.727219,50,908.985114
-1.211159,50,910.283912
-1.498604,50,911.582173
-0.968219,50,912.836481
-1.309558,50,914.41504
-1.169088,50,915.805591
-1.297288,50,917.027367
-0.550372,50,918.475784
-0.809114,50,920.127662
-1.09923,50,921.507075
-1.039217,50,922.86993
-1.34476,50,924.243519
-1.480136,50,925.885606
-0.808883,50,927.278054
-0.83775,50,928.641389
-1.447624,50,929.958785
-0.934533,50,931.68286
-1.235006,50,932.997497
-1.565479,50,934.389293
-1.725215,50,935.748516
-1.193227,50,937.350819
-1.044661,50,938.32772
-1.170417,50,939.683222
-1.325598,50,940.577797
-1.906723,50,942.244249
-1.155005,50,943.554399
-1.245385,50,944.893928
-0.918647,50,946.144336
-1.294319,50,947.638683
-1.31789,50,948.937593
-1.306942,50,950.247809
-1.220628,50,951.627683
-1.560453,50,953.160582
-1.381961,50,954.365863
-0.891906,50,955.492166
-1.477122,50,956.637103
-1.428621,50,957.898114
-0.969876,50,958.975999
-1.355702,50,960.228387
-1.324558,50,961.467583
-1.360391,50,962.797259
-1.298377,50,963.924575
-1.196427,50,964.833433
-0.863783,50,966.090179
-1.38592,50,967.656627
-1.356776,50,968.993694
-0.798435,50,970.355514
-1.509946,50,971.587187
-1.29651,50,973.262807
-0.829754,50,974.256419
-1.379662,50,975.544123
-1.318535,50,976.896258
-1.547488,50,978.250265
-1.419565,50,979.499117
-1.181633,50,980.889062
-1.69652,50,982.3202
-1.343216,50,983.941451
-2.018255,50,985.331236
-1.269365,50,986.487932
-0.536289,50,987.476979
-1.138256,50,988.781392
-1.878606,50,990.161356
-1.19822,50,991.475863
-1.074054,50,992.747428
-1.303711,50,994.207858
-0.96648,50,995.437823
-1.492701,50,996.830136
-1.290965,50,998.292334
-1.48024,50,1000.010544
-1.359094,50,1001.415102
-1.591033,50,1002.716281
-1.202735,50,1004.112406
-1.171982,50,1005.535164
-1.083219,50,1006.972226
-1.298599,50,1008.262555
-1.335335,50,1009.776142
-0.755239,50,1011.243081
-1.198156,50,1012.582952
-1.497935,50,1014.04354
-1.237412,50,1015.459252
-1.464855,50,1017.248462
-1.262952,50,1018.663112
-1.261203,50,1019.804717
-2.676268,50,1021.113631
-1.429292,50,1022.5948
-1.111986,50,1023.875023
-0.948664,50,1025.221472
-0.982235,50,1026.640507
-0.633863,50,1028.405531
-0.389889,50,1029.630425
-1.286907,50,1031.342249
-1.603896,50,1032.739357
-0.878867,50,1034.30568
-1.424653,50,1035.696519
-0.664041,50,1037.088889
-1.46531,50,1038.371014
-1.292088,50,1039.831758
-0.681419,50,1041.248016
-0.817412,50,1042.564362
-1.308186,50,1043.790827
-1.157226,50,1045.114899
-1.36981,50,1046.50158
-1.348586,50,1047.899284
-1.252623,50,1049.22984
-0.449474,50,1050.660033
-0.685101,50,1051.934578
-1.150574,50,1053.047689
-0.873635,50,1054.404142
-1.243831,50,1055.80617
-1.01113,50,1057.059827
-1.144482,50,1058.309978
-1.354392,50,1059.66241
-1.402821,50,1061.141914
-2.128584,50,1062.434692
-1.06481,50,1063.543458
-1.070615,50,1064.789762
-0.78865,50,1066.505549
-1.402537,50,1068.002943
-1.222618,50,1069.439902
-0.752816,50,1070.719864
-2.10139,50,1072.414429
-1.276471,50,1073.732143
-1.916095,50,1075.036253
-0.986791,50,1076.29593
-1.334092,50,1077.868341
-1.708304,50,1079.116987
-1.503036,50,1080.096927
-0.955038,50,1081.190672
-1.355365,50,1082.723349
-1.064687,50,1083.843138
-1.346598,50,1085.081934
-1.567808,50,1085.943092
-1.263527,50,1087.508761
-1.674427,50,1088.929018
-1.368809,50,1090.245841
-1.215598,50,1091.517412
-0.919851,50,1093.217057
-1.237107,50,1094.662482
-1.512081,50,1096.109612
-1.206424,50,1097.545475
-1.057808,50,1099.138289
-0.54979,50,1100.578105
-2.141449,50,1101.73264
-1.754289,50,1103.125111
-0.717979,50,1104.817896
-1.315933,50,1106.254673
-1.457412,50,1107.691072
-1.373598,50,1109.131752
-1.657735,50,1110.668543
-1.271533,50,1111.859469
-2.018846,50,1113.188072
-1.220275,50,1114.3831
-1.075609,50,1115.970326
-1.52834,50,1117.269452
-1.202772,50,1118.585212
-1.896763,50,1119.767154
-1.152107,50,1121.162427
-0.935447,50,1122.378984
-1.466619,50,1123.741166
-0.628399,50,1124.891427
-1.035024,50,1126.402326
-1.200504,50,1127.5298
-1.27097,50,1128.941386
-1.375203,50,1130.382979
-1.356134,50,1131.966526
-1.36404,50,1133.279191
-1.303404,50,1134.647996
-1.267027,50,1136.041264
-1.224609,50,1137.790691
-1.201688,50,1139.200218
-1.135113,50,1140.534291
-1.804987,50,1141.993566
-1.279891,50,1143.59243
-1.070245,50,1144.938204
-1.277398,50,1146.2001
-1.057446,50,1147.485186
-1.202266,50,1149.104367
-1.325954,50,1150.463772
-1.103602,50,1151.935175
-1.013323,50,1153.282422
-0.97964,50,1154.998869
-1.115634,50,1156.340064
-1.355086,50,1157.580145
-1.37924,50,1158.674514
-1.316126,50,1160.448513
-1.276987,50,1161.836474
-1.218533,50,1163.158712
-0.991976,50,1164.585327
-0.615948,50,1166.238165
-1.115043,50,1167.711293
-1.084077,50,1169.08322
-0.951606,50,1170.476792
-1.15919,50,1172.228925
-1.292462,50,1173.475777
-0.882671,50,1174.905939
-1.545412,50,1176.353501
-1.407867,50,1178.031701
-1.380261,50,1179.462924
-1.249908,50,1180.893947
-1.148957,50,1182.145821
-1.338653,50,1183.834285
-1.309722,50,1185.290327
-1.261393,50,1186.684144
-1.270102,50,1188.154204
-1.421776,50,1189.711817
-1.074879,50,1190.814369
-1.408667,50,1192.163311
-1.483165,50,1193.384071
-1.52931,50,1195.0202
-1.321349,50,1196.386163
-1.809174,50,1197.836179
-1.83967,50,1199.26404
-1.45186,50,1200.930949
-1.359387,50,1202.308068
-1.169407,50,1203.636252
-0.462143,50,1205.117033
-1.403059,50,1206.871216
-0.995997,50,1208.319731
-1.901418,50,1209.730343
-1.159724,50,1211.106152
-1.294909,50,1212.739504
-0.905561,50,1214.20129
-0.668939,50,1215.616195
-1.408056,50,1217.035546
-1.22485,50,1218.589006
-1.372396,50,1219.894367
-1.042144,50,1221.255257
-1.284358,50,1222.69048
-0.972138,50,1224.344177
-1.371043,50,1225.749878
-1.340661,50,1227.184876
-1.361549,50,1228.402158
-2.014459,50,1229.626031
-1.083481,50,1230.972181
-0.864393,50,1232.303543
-1.53791,50,1233.731488
-0.777217,50,1235.422979
-1.312731,50,1236.588958
-0.585975,50,1237.940341
-1.448302,50,1239.1067
-1.164444,50,1240.690217
-1.383272,50,1241.998648
-1.196113,50,1243.363389
-1.375941,50,1244.740048
